"DateTime","Depth","Observed_OXY_oxy","Modeled_OXY_oxy"
2016-04-25,1,291.25,306.404740842725
2016-04-25,2,293.125,307.866621674788
2016-04-25,3,298.4375,314.28201632543
2016-04-25,4,337.1875,331.079022748219
2016-04-25,5,316.25,332.83501930486
2016-04-25,6,282.8125,332.840998875043
2016-04-25,8,286.5625,332.603436789004
2016-04-25,9,286.5625,332.692931540536
2016-04-25,9.2,285,332.692931540536
2016-05-02,0.1,278.125,287.961265631033
2016-05-02,1,281.875,287.807082035265
2016-05-02,2,300.625,288.350031587387
2016-05-02,3,317.1875,289.54411685715
2016-05-02,4,325,316.729813054817
2016-05-02,5,311.25,323.450370069226
2016-05-02,6,312.5,323.458577089622
2016-05-02,7,337.1875,323.382295782948
2016-05-02,8,341.25,323.211883703555
2016-05-02,9,338.4375,323.307366194311
2016-05-02,9.2,340.3125,323.307366194311
2016-05-04,0.1,264.0625,282.662124499049
2016-05-04,1,263.4375,282.537905425985
2016-05-04,2,283.125,282.983804937
2016-05-04,3,299.0625,286.311278488518
2016-05-04,4,314.375,312.509378601568
2016-05-04,5,292.8125,320.608519168556
2016-05-04,6,313.125,320.617082591207
2016-05-04,7,334.0625,320.540607994685
2016-05-04,8,337.8125,320.369410398379
2016-05-04,9,339.6875,320.465357999093
2016-05-04,9.2,338.125,320.465357999093
2016-05-09,0.1,273.4375,298.806366226188
2016-05-09,1,271.875,298.517970657236
2016-05-09,2,282.1875,297.273222016152
2016-05-09,3,285,294.676256814987
2016-05-09,4,295.625,300.670379947024
2016-05-09,5,251.875,312.225901276317
2016-05-09,6,345.625,318.360664328726
2016-05-09,7,354.0625,318.282882619736
2016-05-09,8,354.6875,318.11134204098
2016-05-09,9,354.6875,318.207614648392
2016-05-09,9.2,354.6875,318.207614648392
2016-05-12,0.1,174.85375,292.00665240772
2016-05-12,1,288.5971875,291.991487178597
2016-05-12,2,308.1828125,291.457470570451
2016-05-12,3,313.910625,289.894458061389
2016-05-12,4,302.4346875,295.650108900359
